,BBfull,BBOU,S&P 500
2019-03-12,80395.30079698563,91556.22316455841,103550.3228661231
2019-03-13,81898.74264764786,92054.29581165314,104269.95451383159
2019-03-14,81644.71207761765,91776.02125835419,104179.4458595415
2019-03-15,81222.79182100296,91385.20191287994,104698.77028135568
2019-03-18,81861.7418293953,93006.13299655914,105086.77836464609
2019-03-19,82724.889108181,92937.24854183197,105073.05807134518
2019-03-20,83720.41688680649,93538.31384181976,104763.68583408244
2019-03-21,80463.70440912247,92237.87503147125,105900.63174932018
2019-03-22,82940.91323518753,92698.7176027298,103891.2200809307
2019-03-25,82243.69945764542,93197.6465959549,103804.05320104858
2019-03-26,81872.41637182236,92992.46343135834,104549.64925858796
2019-03-27,81072.2125506401,93149.03237628937,104064.0867202232
2019-03-28,80709.10344648361,93342.93866634369,104437.62283737838
2019-03-29,80444.89070081711,93810.13561534882,105140.93503391313
2019-04-01,82174.25646162033,95203.55815792084,106357.26846801287
2019-04-02,82044.78976774216,95281.19789028168,106359.12500935062
2019-04-03,81106.54965925217,94191.53414440155,106587.62449468115
2019-04-04,81293.41664075851,94473.8020811081,106809.82079576251
2019-04-05,81520.06786298752,93118.97222805023,107305.03734908356
2019-04-08,81361.4737238884,93003.23038005829,107417.43507856068
2019-04-09,83298.36959028244,94978.84247112274,106765.68039342013
2019-04-10,82575.6177611351,93628.63677120209,107136.99771726922
2019-04-11,81476.11896657944,92526.71154308319,107141.08210821227
2019-04-12,79799.27133321762,91049.12817668915,107849.21225592594
2019-04-15,79934.86172819138,91094.55694103241,107781.33529335799
2019-04-16,78683.75893163681,90482.71420955658,107836.23457916011
2019-04-17,79263.62018728256,90310.90524196625,107591.03527808907
2019-04-18,79381.82469320297,90486.17561531067,107760.93145124115
2019-04-22,80451.67879629135,91312.38253211975,107869.98740631033
2019-04-23,81104.42709112167,92433.70502853394,108823.68816336259
2019-04-24,79892.20360898972,92664.82825374603,108585.17241110743
2019-04-25,80320.00297117233,93108.33964824677,108545.10734340889
2019-04-26,80857.72819471359,94136.19873714447,109053.67288176331
2019-04-29,80748.86509466171,92726.65746879578,109170.52631045104
2019-04-30,80430.71244955063,93659.7313041687,109274.39300607369
2019-05-01,79379.98524618149,93966.70936393738,108454.5986891188
2019-05-02,78551.20834302902,94693.04759120941,108224.24266245055
2019-05-03,77414.76938962936,95376.27456951141,109267.33814899025
2019-05-06,76884.6681227684,95016.74873638153,108778.8051444851
2019-05-07,76639.28670835495,94259.30696105957,106982.687435055
2019-05-08,76311.56625127792,94102.13591766357,106810.93472056517
2019-05-09,76449.6974196434,93702.41821098328,106488.21349826906
2019-05-10,77173.88790464401,93918.60455131531,106884.38130714637
2019-05-13,75199.73616170883,90377.07670593262,104305.20163035122
2019-05-14,77600.91427183151,92608.30966377258,105141.30634218066
2019-05-15,78935.67368173599,93464.87292861938,105755.22380922797
2019-05-16,79442.5623793602,94471.1070766449,106695.94688951442
2019-05-17,78135.47894716263,93097.98373222351,106073.12708034513
2019-05-20,76932.53498506546,91690.24763679504,105357.19945901292
2019-05-21,78708.23626089096,93685.25963973999,106252.29690388676
2019-05-22,76997.11233663559,92420.4697303772,105952.1983170136
2019-05-23,75299.72987508774,90654.3067779541,104689.86793923368
2019-05-24,75842.70438528061,90649.50344085693,104831.57185294961
2019-05-28,76042.56561422348,90796.42657089233,103953.53647578463
2019-05-29,77164.27149534225,91060.5719833374,103235.01875287876
2019-05-30,77422.09832906723,91240.29581832886,103451.65448624612
2019-05-31,76369.05483198166,91269.71332168579,102086.57133764618
2019-06-03,76561.48306798935,92162.74719238281,101804.277435017
2019-06-04,78826.73719358444,96782.08515548706,103986.1844344314
2019-06-05,79522.8677725792,97582.60219573975,104834.90457105835
2019-06-06,77741.08637571335,96802.62120819092,105478.12822234446
2019-06-07,77944.52572202682,97808.1356048584,106585.40570137504
2019-06-10,76165.60794401169,97785.98439407349,107082.0984314671
2019-06-11,77178.4406580925,98485.43477249146,107044.63252164138
2019-06-12,75318.89903020859,97134.25216579437,106826.52061150306
2019-06-13,73658.60654401779,96079.36710548401,107264.22966484992
2019-06-14,73329.85996580124,95353.83243370056,107091.37208185662
2019-06-17,73555.24699354172,95772.81340408325,107191.15438653626
2019-06-18,73426.1033205986,94744.17270851135,108232.77369630497
2019-06-19,73035.90014219284,95262.86065387726,108555.86622686863
2019-06-20,71346.88167524338,93226.25868797302,109584.12749530475
2019-06-21,72488.67182683945,94156.04844856262,109446.13666426433
2019-06-24,72848.79210996628,94174.71841239929,109256.58832182972
2019-06-25,73645.16266393661,94979.44582748413,108219.04434670485
2019-06-26,72601.75307416916,95058.14454841614,108085.50921487501
2019-06-27,72078.93586683273,94666.65537834167,108498.73909146119
2019-06-28,71252.90305662155,94139.3714466095,109123.41544196825
2019-07-01,70334.69050741196,93520.36457061768,109960.64313489955
2019-07-02,71141.51198148727,95441.4517211914,110282.62174066054
2019-07-03,70360.13914060593,94506.07620048523,111128.75177571387
2019-07-05,71206.62518453598,95292.89427566528,110928.06418525276
2019-07-08,72221.28382635117,95971.34272384644,110391.67769572973
