,walk_forward_equity
2020-03-11,125403.9063668251
2020-03-12,124104.11573266983
2020-03-13,124911.57563257217
2020-03-16,124509.94802331924
2020-03-17,125205.26125574112
2020-03-18,124882.83803796768
2020-03-19,124882.83803796768
2020-03-20,124882.83803796768
2020-03-23,124882.83803796768
2020-03-24,124882.83803796768
2020-03-25,124882.83803796768
2020-03-26,124882.83803796768
2020-03-27,124882.83803796768
2020-03-30,124882.83803796768
2020-03-31,124882.83803796768
2020-04-01,124882.83803796768
2020-04-02,124882.83803796768
2020-04-03,124882.83803796768
2020-04-06,124882.83803796768
2020-04-07,124882.83803796768
2020-04-08,124882.83803796768
2020-04-09,124882.83803796768
2020-04-13,124882.83803796768
2020-04-14,124882.83803796768
2020-04-15,124882.83803796768
2020-04-16,124882.83803796768
2020-04-17,124882.83803796768
2020-04-20,124882.83803796768
2020-04-21,124882.83803796768
2020-04-22,124882.83803796768
2020-04-23,124882.83803796768
2020-04-24,124882.83803796768
2020-04-27,124882.83803796768
2020-04-28,124882.83803796768
2020-04-29,124882.83803796768
2020-04-30,124882.83803796768
2020-05-01,124882.83803796768
2020-05-04,124882.83803796768
2020-05-05,124882.83803796768
2020-05-06,124882.83803796768
2020-05-07,124882.83803796768
2020-05-08,124882.83803796768
2020-05-11,124882.83803796768
2020-05-12,124882.83803796768
2020-05-13,124882.83803796768
2020-05-14,124882.83803796768
2020-05-15,124882.83803796768
2020-05-18,124882.83803796768
2020-05-19,124882.83803796768
2020-05-20,124882.83803796768
2020-05-21,124882.83803796768
2020-05-22,124882.83803796768
2020-05-26,124882.83803796768
2020-05-27,124882.83803796768
2020-05-28,124882.83803796768
2020-05-29,124882.83803796768
2020-06-01,124882.83803796768
2020-06-02,124882.83803796768
2020-06-03,124882.83803796768
2020-06-04,124882.83803796768
2020-06-05,124882.83803796768
2020-06-08,124841.35848474503
2020-06-09,125197.59826135635
2020-06-10,125410.48766565323
2020-06-11,124773.03878259659
2020-06-12,125170.51327753067
2020-06-15,126599.71081018448
2020-06-16,127428.92929697037
2020-06-17,126733.30755853653
2020-06-18,126497.24790811539
2020-06-19,126940.73092508316
2020-06-22,127692.33180475235
2020-06-23,127931.09501886368
2020-06-24,126413.29598093033
2020-06-25,129082.96115732193
2020-06-26,127302.47038507462
2020-06-29,130652.31265497208
2020-06-30,133156.28774118423
2020-07-01,134100.50103235245
2020-07-02,135603.78939676285
2020-07-06,135952.12224817276
2020-07-07,134100.56814050674
2020-07-08,134928.77590799332
2020-07-09,133113.04278802872
2020-07-10,137991.91491365433
2020-07-13,137672.48447847366
2020-07-14,141027.78611040115
2020-07-15,143779.40781450272
2020-07-16,144078.6616139412
2020-07-17,143929.88690042496
2020-07-20,142077.64732980728
2020-07-21,146138.73240327835
2020-07-22,145374.97163438797
2020-07-23,145339.75073480606
2020-07-24,145167.45540094376
2020-07-27,145747.17386484146
2020-07-28,146033.2243924141
2020-07-29,146158.30818033218
2020-07-30,146327.68689584732
2020-07-31,144116.69420099258
2020-08-03,144865.81409311295
2020-08-04,145678.0813241005
2020-08-05,144687.04583978653
2020-08-06,146027.49164819717
2020-08-07,147187.29373788834
2020-08-10,148718.41565179825
2020-08-11,148283.38458490372
2020-08-12,149654.3899140358
2020-08-13,150627.88646554947
2020-08-14,150032.91173028946
2020-08-17,151687.85409402847
2020-08-18,153659.09505701065
2020-08-19,152826.00788354874
2020-08-20,153347.33017778397
2020-08-21,152204.77071619034
2020-08-24,154611.29749917984
2020-08-25,154891.4620461464
2020-08-26,152947.4736981392
2020-08-27,154681.0252518654
2020-08-28,156231.96842050552
2020-08-31,155372.51969385147
2020-09-01,156275.92278146744
2020-09-02,162353.9171643257
2020-09-03,149128.9276471138
2020-09-04,148610.69842386246
2020-09-08,142820.17750406265
2020-09-09,147620.72400712967
2020-09-10,145601.64851045609
2020-09-11,146842.66330194473
2020-09-14,151822.6399884224
2020-09-15,152530.84197854996
2020-09-16,154490.9793858528
