,p5,p25,p50,p75,p95
2023-11-17,119461.50688473553,215925.5512745338,324699.1864839633,466743.8639958567,852778.8856922401
2023-11-20,119481.16400411789,214944.48969940294,325906.79366473935,469775.2828075219,853254.75828993
2023-11-21,120200.28937656741,215358.7864373891,325095.2718052817,468798.03641261806,859543.5724474014
2023-11-22,120018.88431152707,215172.30476198113,324017.1213641574,467951.98973416525,856887.2616183063
2023-11-24,119666.81037093971,215214.84050762258,325053.7844018913,469848.69917074265,859731.7707092741
2023-11-27,120285.58648006404,214967.61544929814,324785.6993463787,470405.7767270104,855830.1333291834
2023-11-28,119910.0394885116,215483.27596064794,325026.6631480446,472911.4782410761,856867.0125321075
2023-11-29,120018.83410926875,215472.88612374142,325160.5853013701,471378.36986785015,854554.9517457392
2023-11-30,120001.90686647782,216311.1305657022,324609.46501753194,471846.0385500166,852585.329578159
2023-12-01,120598.22538116298,215903.40358246103,323653.666349457,473061.90694368846,851176.8063100036
2023-12-04,119970.81548379245,216283.47228460945,324230.70383748366,474460.72059954325,857980.6703440388
2023-12-05,120311.91245181444,217099.74623626375,324782.3563613596,474904.3150166007,857995.5587417912
2023-12-06,120479.92341898121,217074.7605413446,323415.5276574605,474933.8619223107,861768.5987886932
2023-12-07,119641.36220623298,217545.07347601213,322866.5188364163,477644.28256946086,855051.1513539935
2023-12-08,119757.38061303366,217534.77085711845,323271.7875764009,477756.6249357427,859141.258096923
2023-12-11,119380.8453433925,217120.6473186519,323400.7480421063,478632.38562609715,856834.6176885315
2023-12-12,120261.86459174835,216927.05724286303,322934.8734774571,478969.23874026234,857942.6306775919
2023-12-13,119802.28601442683,217071.09925067602,322989.7323471167,479287.6136210434,854427.6108456851
2023-12-14,120072.00746080712,217956.64425477973,323327.7595865112,476304.6404165656,852841.6540985684
2023-12-15,120482.27929146009,217401.53607200814,324645.65125591774,478736.1414759515,855265.6017468186
2023-12-18,120621.9901411216,216622.45584063616,325294.9071380532,479800.23701363686,854041.2111042958
2023-12-19,120636.30541743926,216211.92615930398,325919.13954093494,482647.85001058626,853499.7070069296
2023-12-20,120629.6445478104,217319.0640671644,326431.93408291903,482661.8865947302,858908.6150597297
2023-12-21,121674.01553986447,215805.7006148614,327335.8634630682,482678.7350499035,861153.7163456626
2023-12-22,121646.30260934541,216675.49324500645,328413.4478073161,482705.2831170334,864094.8764209215
2023-12-26,120621.9901411216,216599.80733587296,326847.6834731751,484626.45107626286,862064.5943440493
2023-12-27,120621.9901411216,217244.78581881136,327886.1222594794,482810.3680493467,862209.4897273234
2023-12-28,120635.59183711985,217048.50382260745,330290.6480436432,483828.89230215666,867882.432120103
2023-12-29,120525.13201705948,215942.60688188317,328441.0719225693,485873.00140466064,866194.6464336846
2024-01-02,119691.02139832523,217687.79976660013,328541.4874209275,486596.3381350769,868429.1705187219
2024-01-03,119702.74450554977,216618.81001868835,327574.36685118877,487990.28305905045,873456.9988058715
2024-01-04,120621.9901411216,216984.78557159536,328029.80313066934,490189.5446497215,875570.9393021476
2024-01-05,120791.6529648647,217915.35506901148,328510.07015016425,491538.6748175322,870704.4069691601
2024-01-08,120898.93832310349,217809.79945954698,328336.1115710322,489928.41949364333,871508.407140467
2024-01-09,120408.25646959474,217690.32777148427,328669.1196768718,491868.06189031526,874098.9325428831
2024-01-10,120466.65094257139,217738.3598821637,328923.9546477674,489896.8357452359,876673.960718056
2024-01-11,120630.17365875091,218348.4042230756,328575.3441798716,490591.8684399326,874294.4148464637
2024-01-12,120759.37389941595,216572.50632033724,328745.8012660542,489989.63737188256,870482.4387462283
