,static_equity
2022-11-29,161786.2506260872
2022-11-30,161786.2506260872
2022-12-01,161786.2506260872
2022-12-02,161786.2506260872
2022-12-05,161786.2506260872
2022-12-06,161786.2506260872
2022-12-07,161786.2506260872
2022-12-08,161786.2506260872
2022-12-09,161786.2506260872
2022-12-12,161786.2506260872
2022-12-13,161786.2506260872
2022-12-14,161786.2506260872
2022-12-15,161786.2506260872
2022-12-16,161786.2506260872
2022-12-19,161786.2506260872
2022-12-20,161786.2506260872
2022-12-21,161786.2506260872
2022-12-22,161786.2506260872
2022-12-23,161786.2506260872
2022-12-27,161786.2506260872
2022-12-28,161786.2506260872
2022-12-29,161786.2506260872
2022-12-30,161786.2506260872
2023-01-03,161786.2506260872
2023-01-04,161786.2506260872
2023-01-05,161786.2506260872
2023-01-06,161786.2506260872
2023-01-09,161786.2506260872
2023-01-10,161786.2506260872
2023-01-11,161786.2506260872
2023-01-12,161786.2506260872
2023-01-13,161786.2506260872
2023-01-17,161786.2506260872
2023-01-18,161786.2506260872
2023-01-19,161786.2506260872
2023-01-20,161786.2506260872
2023-01-23,161786.2506260872
2023-01-24,161905.70405626297
