range_day,range_width_pips,direction,trigger_kind,entry_time,exit_time,vix_at_entry,high_vix,entry_price,sl,tp,exit_price,sl_dist,r_multiple,exit_reason,hold_bars
2024-09-27,5.800000000000249,short,fractal,2024-09-27 08:05:00+02:00,2024-09-27 08:20:00+02:00,15.369999885559082,False,1.1162434791031475,1.1170103107983227,1.1158848446008387,1.1170268316951752,0.0007503107983225583,-1.0440374759087663,stop,3
2024-09-30,3.8000000000004697,long,fractal,2024-09-30 08:20:00+02:00,2024-09-30 08:35:00+02:00,16.959999084472656,False,1.1161165208968526,1.1153169436433266,1.1164915281783367,1.1164750072814842,0.000783056356673453,0.45780406681639974,take_profit,3
2024-10-01,6.700000000001705,long,fractal,2024-10-01 08:20:00+02:00,2024-10-01 08:25:00+02:00,16.729999542236328,False,1.1133865208968525,1.1126853476848328,1.1137123261575834,1.1136958052607309,0.0006846523151670675,0.4517393091745643,take_profit,1
2024-10-03,3.4000000000000696,short,fractal,2024-10-03 08:55:00+02:00,2024-10-03 09:00:00+02:00,18.899999618530273,False,1.1039734791031475,1.104840871244817,1.1035645643775915,1.103581085274444,0.0008508712448170267,0.46116710500394903,take_profit,1
2024-10-04,4.799999999998139,long,fractal,2024-10-04 08:10:00+02:00,2024-10-04 08:30:00+02:00,20.489999771118164,True,1.1030665208968526,1.1023608411330383,1.1033453538001265,1.103328832903274,0.0006891588669617651,0.38062632434489657,take_profit,4
2024-10-07,5.20000000000076,short,choch,2024-10-07 08:00:00+02:00,2024-10-07 08:00:00+02:00,19.209999084472656,False,1.0966634791031475,1.097177428483723,1.0964312857581386,1.0964478066549912,0.0004974284837230042,0.4335747855493612,take_profit,0
2024-10-08,3.5000000000007248,short,choch,2024-10-08 07:50:00+02:00,2024-10-08 08:45:00+02:00,22.639999389648438,True,1.0981534791031475,1.0988541965947032,1.0978767728879846,1.0988707174915557,0.0006841965947031085,-1.0482928356570274,stop,11
2024-10-09,6.399999999999739,long,fractal,2024-10-09 08:25:00+02:00,2024-10-09 09:05:00+02:00,21.420000076293945,True,1.0967065208968525,1.0958262959604717,1.0970601588740836,1.095809775063619,0.0008637040395283585,-1.0382559212332594,stop,8
2024-10-10,6.199999999998429,short,fractal,2024-10-10 07:50:00+02:00,2024-10-10 08:00:00+02:00,20.860000610351562,True,1.0939634791031474,1.0945483740947426,1.0937364111022532,1.0937529319991057,0.0005683740947425654,0.37043754454895234,take_profit,2
2024-10-11,5.299999999999194,short,fractal,2024-10-11 07:45:00+02:00,2024-10-11 07:45:00+02:00,20.93000030517578,True,1.0935234791031474,1.0939801107187717,1.0933513811205264,1.093367902017379,0.0004401107187717337,0.3534953345435363,take_profit,0
2024-10-14,2.500000000000835,short,fractal,2024-10-14 07:25:00+02:00,2024-10-14 08:00:00+02:00,20.459999084472656,True,1.0924334791031474,1.0928920154843818,1.0922605647924077,1.0929085363812343,0.00044201548438185415,-1.0747525706057497,stop,7
2024-10-15,4.899999999998794,short,choch,2024-10-15 07:15:00+02:00,2024-10-15 07:30:00+02:00,19.700000762939453,False,1.0890534791031474,1.0894765077889401,1.08886674610553,1.0888832670023825,0.00040650778894012326,0.4187179320936119,take_profit,3
2024-10-16,5.299999999999194,short,fractal,2024-10-16 07:50:00+02:00,2024-10-16 07:55:00+02:00,20.639999389648438,True,1.0888034791031473,1.089227235728024,1.0886454704022752,1.0886619912991278,0.0004072357280241357,0.347434653403454,take_profit,1
2024-10-17,3.20000000000098,long,fractal,2024-10-17 09:25:00+02:00,2024-10-17 09:35:00+02:00,19.579999923706055,False,1.0853365208968526,1.084615521035069,1.0856722394824656,1.085655718585613,0.0007044789649311347,0.453097543929695,take_profit,2
2024-10-18,2.2999999999995246,long,fractal,2024-10-18 07:30:00+02:00,2024-10-18 07:45:00+02:00,19.110000610351562,False,1.0839965208968525,1.0836812305859924,1.0841293847070037,1.0841128638101512,0.00029876941400760316,0.38940704049340774,take_profit,3
2024-10-22,2.8999999999990145,long,fractal,2024-10-22 07:20:00+02:00,2024-10-22 07:30:00+02:00,18.3700008392334,False,1.0820965208968525,1.0817589947340118,1.082240502632994,1.0822239817361414,0.00032100526598814055,0.3970677518220178,take_profit,2
2024-10-23,3.1000000000003247,long,choch,2024-10-23 08:15:00+02:00,2024-10-23 08:20:00+02:00,18.200000762939453,False,1.0803465208968526,1.0798028532424337,1.080593573378783,1.0797863323455812,0.0005271467575662025,-1.0626804456840973,stop,1
2024-10-24,6.699999999999484,short,fractal,2024-10-24 08:40:00+02:00,2024-10-24 08:45:00+02:00,19.239999771118164,False,1.0787134791031474,1.079255462528586,1.078467268735707,1.0784837896325596,0.0005254625285858765,0.4371186489851295,take_profit,1
2024-10-25,2.60000000000149,long,choch,2024-10-25 07:25:00+02:00,2024-10-25 08:10:00+02:00,19.079999923706055,False,1.0824365208968525,1.0820573304772974,1.0826013347613512,1.0820408095804448,0.00036266952270254415,-1.0911071695766805,stop,9
2024-10-29,4.699999999999704,short,fractal,2024-10-29 07:40:00+01:00,2024-10-29 08:10:00+01:00,19.799999237060547,False,1.0809434791031474,1.0814040719597402,1.0807379640201298,1.0807544849169823,0.00044407195974022315,0.4255936048643672,take_profit,6
2024-10-31,5.5000000000005045,long,fractal,2024-10-31 08:05:00+01:00,2024-10-31 08:30:00+01:00,20.350000381469727,True,1.0853765208968527,1.0846927807581632,1.0856459511036445,1.085629430206792,0.000667219241836906,0.379049784659965,take_profit,5
2024-11-04,5.699999999999594,long,fractal,2024-11-04 07:35:00+01:00,2024-11-04 08:00:00+01:00,21.8799991607666,True,1.0897365208968526,1.08891675427355,1.0900642481684786,1.0889002333766975,0.0008032457264499733,-1.0411353495164364,stop,5
2024-11-07,10.300000000000864,long,fractal,2024-11-07 07:55:00+01:00,2024-11-07 08:05:00+01:00,16.270000457763672,False,1.0747765208968525,1.0739911348989317,1.0751444325505342,1.0751279116536816,0.0007688651010683077,0.4570252393311425,take_profit,2
2024-11-08,6.399999999999739,short,choch,2024-11-08 08:15:00+01:00,2024-11-08 09:00:00+01:00,15.199999809265137,False,1.0778734791031475,1.078791432922225,1.0774392835388875,1.07745580443574,0.0009014329222248938,0.4633452552148774,take_profit,9
2024-11-13,8.999999999999009,short,fractal,2024-11-13 07:35:00+01:00,2024-11-13 08:10:00+01:00,14.710000038146973,False,1.0610934791031474,1.0618124806839138,1.0607587596580432,1.0607752805548958,0.0007024806839136621,0.45296412490505716,take_profit,7
2024-11-14,14.600000000000168,long,fractal,2024-11-14 08:05:00+01:00,2024-11-14 08:30:00+01:00,14.020000457763672,False,1.0546665208968526,1.0537703555685771,1.0550898222157115,1.055073301318859,0.0008796444314229067,0.4624373297609053,take_profit,5
2024-11-18,8.60000000000083,long,choch,2024-11-18 07:30:00+01:00,2024-11-18 09:00:00+01:00,16.139999389648438,False,1.0545065208968525,1.0536698202138164,1.0549000898930918,1.0548835689962393,0.0008201797861835493,0.45971396239993084,take_profit,18
