,walk_forward_equity
2021-03-23,94519.42017889023
2021-03-24,94519.42017889023
2021-03-25,94519.42017889023
2021-03-26,94519.42017889023
2021-03-29,94519.42017889023
2021-03-30,94519.42017889023
2021-03-31,94519.42017889023
2021-04-01,94519.42017889023
2021-04-06,94519.42017889023
2021-04-07,94519.42017889023
2021-04-08,94519.42017889023
2021-04-09,94519.42017889023
2021-04-12,94519.42017889023
2021-04-13,94519.42017889023
2021-04-14,94519.42017889023
2021-04-15,94519.42017889023
2021-04-16,94519.42017889023
2021-04-19,94519.42017889023
2021-04-20,94519.42017889023
2021-04-21,94519.42017889023
2021-04-22,94519.42017889023
2021-04-23,94519.42017889023
2021-04-26,94519.42017889023
2021-04-27,94519.42017889023
2021-04-28,94519.42017889023
2021-04-29,94519.42017889023
2021-04-30,94519.42017889023
2021-05-03,94519.42017889023
2021-05-04,94519.42017889023
2021-05-05,94519.42017889023
2021-05-06,94519.42017889023
2021-05-07,94519.42017889023
2021-05-10,94519.42017889023
2021-05-11,94519.42017889023
2021-05-12,94519.42017889023
2021-05-13,94519.42017889023
2021-05-14,94519.42017889023
2021-05-17,94519.42017889023
2021-05-18,94519.42017889023
2021-05-19,94519.42017889023
2021-05-20,94753.29833745956
2021-05-21,94729.10453557968
2021-05-24,94729.10453557968
2021-05-25,94938.79066991806
2021-05-26,94967.01617956161
2021-05-27,94684.74863958359
2021-05-28,94737.17150640488
2021-05-31,94587.96809911728
2021-06-01,94644.42267370224
2021-06-02,94717.00763463974
2021-06-03,94721.04289770126
2021-06-04,94721.04289770126
2021-06-07,94721.04289770126
2021-06-08,94721.04289770126
2021-06-09,94549.84897375107
2021-06-10,94379.76015233994
2021-06-11,94626.79607152939
2021-06-14,94520.3944067955
2021-06-15,94800.93517827988
2021-06-16,95081.84216070175
2021-06-17,94875.29992437363
2021-06-18,93815.37884283066
2021-06-21,94200.05040884018
2021-06-22,94493.36771154404
2021-06-23,94187.52133321762
2021-06-24,94778.26388311386
