,p5,p25,p50,p75,p95
2020-08-11,87424.42082917067,98797.42124324891,105740.38515764772,113454.39232503274,124407.76982845695
2020-08-12,87459.561259889,98869.19628283566,105768.8686515237,113490.44354938343,124409.42087515672
2020-08-13,87463.4449504474,98816.81777122381,105682.71643106261,113464.47487431417,124339.22411970775
2020-08-14,87424.61767277477,98844.40932535427,105723.49270865589,113525.86390350106,124457.98521777673
2020-08-17,87463.73023200249,98909.63143291099,105726.42499741912,113462.28255038215,124639.1023242683
2020-08-18,87491.83265640031,98881.33447586774,105766.86786890842,113489.22730095849,124602.27795815853
2020-08-19,87880.80035574392,98898.66321121989,105781.14598762357,113474.64073553245,124610.933984238
2020-08-20,87721.0830057198,98882.33723521518,105916.03172163398,113541.57149765432,124685.4845896532
2020-08-21,87567.60037381724,98888.65531104723,105781.14598762357,113506.33625491736,124611.12947616135
2020-08-24,87687.31742740601,98898.66321121989,105921.56398903733,113492.72318733027,124603.60784393654
2020-08-25,87876.4984810083,98948.61379883476,105846.0599549768,113481.87645118304,124854.71438962933
2020-08-26,87750.15475973618,98898.66321121989,105966.39812315171,113440.3336628538,124518.62760609107
2020-08-27,87911.78986181352,98901.5463639877,105939.22041669214,113411.1305110469,124951.1870147217
2020-08-28,87784.3115475381,98898.66321121989,105887.74317723364,113470.19993854707,124797.7795936204
2020-08-31,87720.52478526073,98838.08154313556,105913.7301247009,113523.59481397654,124881.81343090133
2020-09-01,87835.96032071413,98838.08154313556,105792.46435083552,113511.03449260151,124674.11296614348
2020-09-02,87774.39856511985,98867.30888007938,105849.25180173595,113490.53062119015,124831.93461912272
2020-09-03,87990.67550738265,98926.04489471606,105804.92806959039,113540.55017238557,125071.57343239945
2020-09-04,87841.34583069576,98934.3464370807,105816.40811777223,113655.14253539927,124879.3313160636
2020-09-07,87982.18804176735,98916.82571491212,105890.56574825643,113640.64840629869,124999.23428603343
2020-09-08,88095.62913944593,98865.25713278152,105983.97958691107,113635.67524842484,124984.03269078382
2020-09-09,87856.58862224196,98894.42109666302,105997.60895859552,113733.49677833902,125023.39783295555
2020-09-10,88033.93901290666,98786.01262556258,106087.25590045584,113562.16395750396,125008.39281427494
2020-09-11,87984.03001595932,98797.00041647063,106104.25459759566,113683.12040905144,124797.89253154886
2020-09-14,87921.56965458496,98807.51513858285,106125.41833039754,113753.51400601193,124805.17590177621
2020-09-15,87753.34039173767,98847.43346739985,106087.15279565881,113735.80003317217,124444.28858670089
2020-09-16,87839.20536737812,98931.76000990767,105998.19788257076,113758.06950829893,124620.36489144176
2020-09-17,87792.18516611023,98797.00041647063,106031.280700917,113763.83971404999,124534.30266438068
2020-09-18,87838.80206956832,98926.67407415833,106122.36109460682,113749.2058119653,124698.99962306951
2020-09-21,87880.4560377156,98869.04796396004,106096.60402348975,113754.63468491397,124755.24263446656
2020-09-22,87828.25259240998,98965.04268042673,106149.23880300423,113738.86134734677,125149.13125909303
2020-09-23,87771.1280634612,98939.39191575939,106092.81702035043,113767.42113370165,125034.26035132167
2020-09-24,87788.31845141937,98999.27104971376,106060.49996886862,113836.49396235758,124902.45785651957
2020-09-25,87840.30871622347,98965.04268042673,106052.98311369438,113792.35986857818,125050.21292004855
2020-09-28,87861.12030313542,98906.33023251235,106052.65962194631,113796.74242476166,124966.7399150568
2020-09-29,87722.1751177568,98965.04268042673,106110.63078053406,113822.41970595584,125146.12347640083
2020-09-30,87729.0761552573,98965.04268042673,106132.25503031423,113913.92284458765,125230.62939497427
2020-10-01,87840.71901970592,98992.80345172578,106048.23012210481,113968.65202596494,125181.5083383219
2020-10-02,87804.25501148947,98952.81119030857,106144.24482952371,113918.12456112407,125134.13364049292
2020-10-05,87803.73850250395,98898.49121453438,106172.58932692288,113935.80771557217,125355.92290042649
2020-10-06,87774.35763283607,99006.71126062285,106196.9761211361,114073.1174199865,125357.09414924728
2020-10-07,87747.03048852902,98984.73581476511,106208.61960728161,114016.38525939963,125390.97359245004
2020-10-08,87662.78965785415,98915.65732902694,106218.74370985111,114110.85772366427,125205.68258838283
2020-10-09,87687.93183586614,98946.44433632967,106218.74370985111,114095.1845310877,125300.99544470875
2020-10-12,87632.83455905471,98895.44495058461,106235.81827212265,114164.39218013322,125390.97359245004
2020-10-13,87658.25211003426,98946.42088502442,106235.81827212265,114200.64370710702,125390.45013861546
2020-10-14,87660.5003110141,98962.8118900503,106235.81827212265,114301.4846063137,125455.70677281165
2020-10-15,87703.10883771219,98919.83076424758,106226.90232895614,114312.79305141413,125299.2057805271
2020-10-16,87659.28019868775,98882.39651178833,106220.04170747752,114273.66110791829,125621.79812870658
2020-10-19,87676.1174535061,98780.8657905699,106257.24688181418,114284.27657268036,125461.7453747491
2020-10-20,87676.1174535061,98839.08715976996,106305.04577240089,114328.0069686694,125431.86750788488
2020-10-21,87685.23707892603,98933.53527051165,106284.30107362538,114295.73246130854,125445.41082616594
