,BBfull,BBOU,DAX
2022-07-07,78394.61348938942,103642.90631389618,99781.14311939567
2022-07-08,80650.49013924599,104583.2376279831,101117.52362597431
2022-07-11,79555.0069744587,104386.24923992157,99697.39694148154
2022-07-12,79926.15132451057,104597.02621364594,100264.85734053308
2022-07-13,78849.8786804676,104298.25513744354,99106.00689528913
2022-07-14,77790.98673939705,104768.1553144455,97267.35417235855
2022-07-15,78834.29792714119,105100.00824642181,99948.18025048438
2022-07-18,79928.29195904732,105118.22961711884,100686.94930609714
2022-07-19,81435.08602643013,104922.48266887665,103395.28613264808
2022-07-20,80753.82903790474,104673.83044719696,103189.94942680757
2022-07-21,80394.6996948719,104122.96117687225,102915.38062516467
2022-07-22,81484.11946415901,104928.98573589325,102970.07587761828
2022-07-25,82059.45479512215,105478.1031332016,102633.2095703718
2022-07-26,83073.29392552376,105638.02881526947,101752.25865444823
2022-07-27,82750.50251889229,105434.92883968353,102291.82895112503
2022-07-28,78382.37016415596,101684.15328502655,103190.9585083135
2022-07-29,76393.94512677193,100395.4076719284,104759.86022476114
2022-08-01,76314.66612935066,100014.09545135498,104725.52110524318
2022-08-02,75962.26769089699,99866.83742666245,104489.10772385127
2022-08-03,76235.93186688423,100621.15746593475,105564.04507544325
2022-08-04,74969.25125050545,99270.47319316864,106147.66595274783
2022-08-05,76741.03132748604,101195.36980724335,105458.15221395138
2022-08-08,75212.43549847603,100319.94304656982,106341.97863281291
2022-08-09,75629.26560521126,100016.5470571518,105155.465697564
2022-08-10,74539.54229855537,99383.68763923645,106444.83666270798
2022-08-11,73989.4761030674,99039.57496213913,106394.95920541433
2022-08-12,73831.17174077034,98195.27147006989,107182.28556657612
2022-08-15,73354.95697522163,98058.1419839859,107343.57927886787
2022-08-16,72940.83435368538,97522.78904819489,108070.0724406715
2022-08-17,75051.3537800312,99624.65584659576,105868.21107223407
2022-08-18,75065.22316098213,99478.42159366608,106417.49283002067
2022-08-19,76499.09739804268,100839.32045841217,105229.65974302716
2022-08-22,77435.51753354073,101563.76577091217,102790.53524035068
2022-08-23,78195.5189564228,101567.18224430084,102508.20485689896
2022-08-24,78399.90522122383,101449.26403141022,102708.87550915939
2022-08-25,78394.22009396553,101377.59395694733,103112.09840927024
2022-08-26,75078.23865437508,100474.64510440826,100777.53902926207
2022-08-29,75835.3532898426,100787.40711307526,100167.8186002249
2022-08-30,76771.37370610237,100700.30259799957,100697.28290768429
2022-08-31,75103.67369198799,99887.25033092499,99716.971605281
2022-09-01,72103.84773945808,98396.95192813873,98126.39360415311
2022-09-02,77087.01386380196,100634.69856929779,101389.74802020863
2022-09-05,73938.3587334156,99281.16175937653,99140.65708504576
2022-09-06,75006.12386250496,100038.15377902985,100000.39452810759
2022-09-07,75096.78223156929,99766.8052740097,100346.35015598654
2022-09-08,73708.11407971382,97688.26515102386,100255.84389069054
2022-09-09,75298.77980542183,98925.33159923553,101684.51362612832
2022-09-12,75819.75232815742,99105.41614055634,104124.49546873088
2022-09-13,76288.5879585743,98634.52419567108,102467.18152078902
2022-09-14,77246.29886555672,99282.85366153717,101216.7322708742
2022-09-15,76313.32096982002,98181.07490825653,100662.48097634783
2022-09-16,77053.4886829853,98953.2589673996,98988.99896307391
2022-09-19,77802.94914364815,99332.8369550705,99470.53569254061
2022-09-20,77798.26487278938,100072.64346218109,98441.8188261681
2022-09-21,77915.12098526955,100097.8937535286,99190.14760131083
2022-09-22,75131.74266076088,98967.71436548233,97360.34899956397
2022-09-23,72469.11856484413,98115.80401182175,95437.95009871929
2022-09-26,71746.05532670021,97659.25788497925,95000.77502011904
2022-09-27,71083.27118134499,96758.83729600906,94315.22173655643
