max_hold_h,tp_mode,tp_r,stop_atr,be,max_concurrent,n_trades,n_skipped,win_rate,profit_factor,sharpe,cagr,max_drawdown,final_equity,total_return
24,h4_level,,3.0,1.0,5.0,321,1490,0.40498442367601245,0.6361497059763966,-1.1835135854597942,-0.4525637135063171,-0.5839636369991116,44020.98147673184,-0.5597901852326816
24,h4_level,,3.0,1.0,6.0,380,1431,0.3973684210526316,0.6270407844239928,-1.2338543196939162,-0.5353010370522333,-0.6720730306213345,34979.03753103394,-0.6502096246896607
24,h4_level,,3.0,1.0,8.0,487,1324,0.3839835728952772,0.6158597226937343,-1.2397820391712202,-0.6538018917513907,-0.7861572311408825,23176.14415755455,-0.7682385584244544
24,h4_level,,3.0,1.0,12.0,680,1131,0.38088235294117645,0.5891121414153556,-1.2426695728542128,-0.8071882280054122,-0.9086071558951755,10257.110035107316,-0.8974288996489268
24,h4_level,,3.0,1.0,,1811,0,0.41634456101601325,0.2811547963315423,-0.35113565552167464,-0.9982504710267164,-0.999901180695688,11.630759047484354,-0.9998836924095251
24,atr,2.0,0.5,,1.0,229,1582,0.24890829694323144,0.4622284380869563,-2.531793282226684,-0.7003867262309837,-0.8313337326325726,18585.89964639303,-0.8141410035360697
24,atr,2.0,0.5,,2.0,388,1423,0.28350515463917525,0.5497202172864165,-2.1830643327167336,-0.8072617399435109,-0.9111212402908431,10243.1967163439,-0.897568032836561
24,atr,2.0,0.5,,3.0,526,1285,0.2946768060836502,0.5730614815452663,-2.1179591938862283,-0.8781773474531152,-0.9543515773807835,5471.070904675497,-0.945289290953245
24,atr,2.0,0.5,,4.0,649,1162,0.29892141756548535,0.5892863662979871,-2.0753344843688297,-0.9237504642543396,-0.9768857639654841,2820.8658087349077,-0.9717913419126509
24,atr,2.0,0.5,,5.0,781,1030,0.29961587708066584,0.6020086664257202,-2.0901572199436096,-0.9543736627105259,-0.9890360455094582,1331.303454909932,-0.9866869654509007
24,atr,2.0,0.5,,6.0,908,903,0.29625550660792954,0.591119797480588,-2.1528507568116577,-0.9745903282016639,-0.9953145862510367,567.2818970863877,-0.9943271810291361
24,atr,2.0,0.5,,8.0,1136,675,0.289612676056338,0.5845772733629906,-2.280254474668432,-0.992734426939928,-0.9992395931133442,93.72612625724389,-0.9990627387374276
24,atr,2.0,0.5,,12.0,1416,395,0.2916666666666667,0.6222122828717144,-2.282894570490166,-0.9981790785391245,-0.9998980948616132,13.525560413038022,-0.9998647443958696
24,atr,2.0,0.5,,,1811,0,0.3014908890115958,0.6476447518807921,-2.10576879117102,-0.9998177015597297,-0.9999963981193157,0.4867751495158706,-0.9999951322485049
24,atr,2.0,0.5,0.5,1.0,321,1490,0.1838006230529595,0.40579439774767195,-2.938979461334946,-0.8196646892474239,-0.9193057067388987,8891.237937781336,-0.9110876206221866
24,atr,2.0,0.5,0.5,2.0,521,1290,0.2053742802303263,0.4449110938596757,-2.782105305734682,-0.9008188958548681,-0.966136687008508,3767.0424667535062,-0.962329575332465
24,atr,2.0,0.5,0.5,3.0,686,1125,0.21282798833819241,0.46429045501181654,-2.6589872174174896,-0.9397996766347707,-0.98360129640291,1843.5996990455747,-0.9815640030095443
24,atr,2.0,0.5,0.5,4.0,845,966,0.21893491124260356,0.47965825686271246,-2.5922696169194235,-0.965200299243624,-0.9926020909500086,847.8842770853389,-0.9915211572291466
24,atr,2.0,0.5,0.5,5.0,987,824,0.22391084093211752,0.49125889349537666,-2.566665817478489,-0.9792256152063523,-0.9965029092550327,401.6283635838298,-0.9959837163641617
24,atr,2.0,0.5,0.5,6.0,1116,695,0.22311827956989247,0.49759922134392437,-2.581908493244221,-0.9883177539633663,-0.9984843147787862,174.40401161304086,-0.9982559598838696
24,atr,2.0,0.5,0.5,8.0,1321,490,0.22482967448902347,0.5294913327782296,-2.517753838050165,-0.9948341836310031,-0.9995366560154715,54.198755586857004,-0.9994580124441315
24,atr,2.0,0.5,0.5,12.0,1560,251,0.23012820512820512,0.5753399730911762,-2.440679386462306,-0.9980460452715935,-0.9998871055074594,14.27899268796353,-0.9998572100731203
24,atr,2.0,0.5,0.5,,1811,0,0.2413031474323578,0.5804744480601851,-2.2132371948759535,-0.9990297112177038,-0.9999591558974177,5.268735554938308,-0.9999473126444506
