,static_equity
2022-01-10,163471.13975811005
2022-01-11,164927.58243083954
2022-01-12,165314.70951366425
2022-01-13,163376.74086284637
2022-01-14,163404.2716398239
2022-01-18,160603.49972057343
2022-01-19,159319.51377391815
2022-01-20,155912.43510723114
2022-01-21,155165.90986919403
2022-01-24,157328.35287761688
2022-01-25,153310.6481962204
2022-01-26,154008.57806682587
2022-01-27,148900.00999355316
2022-01-28,150277.2945241928
2022-01-31,152077.7730398178
2022-02-01,152527.31423854828
2022-02-02,154050.54507350922
2022-02-03,154050.54507350922
2022-02-04,154050.54507350922
2022-02-07,154050.54507350922
2022-02-08,154050.54507350922
2022-02-09,154050.54507350922
2022-02-10,154050.54507350922
2022-02-11,154050.54507350922
2022-02-14,154050.54507350922
2022-02-15,154050.54507350922
2022-02-16,154050.54507350922
2022-02-17,154050.54507350922
2022-02-18,154050.54507350922
2022-02-22,154050.54507350922
2022-02-23,154050.54507350922
2022-02-24,154050.54507350922
2022-02-25,154050.54507350922
2022-02-28,154050.54507350922
2022-03-01,154050.54507350922
2022-03-02,154050.54507350922
2022-03-03,154050.54507350922
2022-03-04,154050.54507350922
2022-03-07,154050.54507350922
2022-03-08,154050.54507350922
2022-03-09,154050.54507350922
2022-03-10,154050.54507350922
2022-03-11,154050.54507350922
2022-03-14,154050.54507350922
2022-03-15,154050.54507350922
2022-03-16,154050.54507350922
2022-03-17,154050.54507350922
2022-03-18,154050.54507350922
2022-03-21,154050.54507350922
2022-03-22,154050.54507350922
2022-03-23,154050.54507350922
2022-03-24,154050.54507350922
2022-03-25,154050.54507350922
2022-03-28,154050.54507350922
2022-03-29,154050.54507350922
2022-03-30,154050.54507350922
2022-03-31,154050.54507350922
2022-04-01,154050.54507350922
2022-04-04,154050.54507350922
2022-04-05,154050.54507350922
2022-04-06,154050.54507350922
2022-04-07,154050.54507350922
2022-04-08,154050.54507350922
2022-04-11,154050.54507350922
2022-04-12,154050.54507350922
2022-04-13,154050.54507350922
2022-04-14,154050.54507350922
2022-04-18,154050.54507350922
2022-04-19,154050.54507350922
2022-04-20,154050.54507350922
2022-04-21,154050.54507350922
2022-04-22,154050.54507350922
2022-04-25,154050.54507350922
2022-04-26,154050.54507350922
2022-04-27,154050.54507350922
2022-04-28,154050.54507350922
2022-04-29,154050.54507350922
2022-05-02,154050.54507350922
2022-05-03,154050.54507350922
2022-05-04,154050.54507350922
2022-05-05,154050.54507350922
2022-05-06,154050.54507350922
2022-05-09,154050.54507350922
2022-05-10,154050.54507350922
2022-05-11,154050.54507350922
2022-05-12,154050.54507350922
2022-05-13,154050.54507350922
2022-05-16,154050.54507350922
2022-05-17,154050.54507350922
2022-05-18,154050.54507350922
2022-05-19,154050.54507350922
2022-05-20,154050.54507350922
2022-05-23,154050.54507350922
2022-05-24,154050.54507350922
2022-05-25,154050.54507350922
2022-05-26,154050.54507350922
2022-05-27,154050.54507350922
2022-05-31,154050.54507350922
2022-06-01,154050.54507350922
2022-06-02,154050.54507350922
2022-06-03,154050.54507350922
2022-06-06,154050.54507350922
2022-06-07,154050.54507350922
2022-06-08,154050.54507350922
2022-06-09,154050.54507350922
2022-06-10,154050.54507350922
2022-06-13,154050.54507350922
2022-06-14,154050.54507350922
2022-06-15,154050.54507350922
2022-06-16,154050.54507350922
2022-06-17,154050.54507350922
2022-06-21,154050.54507350922
2022-06-22,154050.54507350922
2022-06-23,154050.54507350922
2022-06-24,154050.54507350922
2022-06-27,154050.54507350922
2022-06-28,154050.54507350922
2022-06-29,154050.54507350922
2022-06-30,154050.54507350922
2022-07-01,154050.54507350922
2022-07-05,154050.54507350922
2022-07-06,154050.54507350922
2022-07-07,154050.54507350922
2022-07-08,154050.54507350922
2022-07-11,154050.54507350922
2022-07-12,154050.54507350922
2022-07-13,154050.54507350922
2022-07-14,154050.54507350922
2022-07-15,154050.54507350922
2022-07-18,154050.54507350922
2022-07-19,154050.54507350922
2022-07-20,154050.54507350922
2022-07-21,154050.54507350922
2022-07-22,154050.54507350922
2022-07-25,154050.54507350922
2022-07-26,154050.54507350922
2022-07-27,154050.54507350922
2022-07-28,154050.54507350922
2022-07-29,154050.54507350922
2022-08-01,154050.54507350922
2022-08-02,154050.54507350922
2022-08-03,154050.54507350922
2022-08-04,154050.54507350922
2022-08-05,154050.54507350922
2022-08-08,154050.54507350922
2022-08-09,154050.54507350922
2022-08-10,154050.54507350922
2022-08-11,154050.54507350922
2022-08-12,154050.54507350922
2022-08-15,154050.54507350922
2022-08-16,154050.54507350922
2022-08-17,154050.54507350922
2022-08-18,154050.54507350922
2022-08-19,154050.54507350922
2022-08-22,154050.54507350922
2022-08-23,154050.54507350922
2022-08-24,154050.54507350922
2022-08-25,154050.54507350922
2022-08-26,154050.54507350922
2022-08-29,154050.54507350922
2022-08-30,154050.54507350922
2022-08-31,154050.54507350922
2022-09-01,154050.54507350922
2022-09-02,154050.54507350922
2022-09-06,154050.54507350922
2022-09-07,154050.54507350922
2022-09-08,154050.54507350922
2022-09-09,154050.54507350922
2022-09-12,154050.54507350922
2022-09-13,154050.54507350922
2022-09-14,154050.54507350922
2022-09-15,154050.54507350922
2022-09-16,154050.54507350922
2022-09-19,154050.54507350922
2022-09-20,154050.54507350922
2022-09-21,154050.54507350922
2022-09-22,154050.54507350922
2022-09-23,154050.54507350922
2022-09-26,154050.54507350922
2022-09-27,154050.54507350922
2022-09-28,154050.54507350922
2022-09-29,154050.54507350922
2022-09-30,154050.54507350922
2022-10-03,154050.54507350922
