,p5,p25,p50,p75,p95
2020-10-14,92577.67231620714,110984.81184766599,126709.82589811037,142985.45609424482,171708.3308141157
2020-10-15,92475.26660842155,110949.57116947079,126789.94088889843,143361.3077515266,171938.6955729098
2020-10-16,92501.87390641947,111147.9944908649,126862.99336476941,143137.7587759675,172002.5551305453
2020-10-19,92188.6867360858,111135.39742959649,126771.0973444201,143021.28506557056,171981.7586323271
2020-10-20,92385.90218048217,111149.38889110365,126818.75772504714,143137.4479967522,171971.87669155342
2020-10-21,92051.5838733163,111106.86432321975,127005.0149819087,143456.5725483051,171990.87999261133
2020-10-22,92706.00028519452,111372.43795105099,127062.47378373498,143412.3337931488,171619.73789291029
2020-10-23,92298.37784051761,111490.80747146285,127252.78429737914,143431.11411392334,171997.49849228733
2020-10-26,92465.1638113798,111631.11719905966,127272.42083359667,143499.31568333672,171980.55299925932
2020-10-27,92572.87359069494,111643.86297756126,127346.19411924275,143490.68470898998,172031.9432522165
2020-10-28,92525.31145215347,111728.81068596369,127194.59103206202,143412.3337931488,172694.32564694888
2020-10-29,92562.5484614694,111697.15125311464,127238.16371902105,143456.53952363753,172815.33687275017
2020-10-30,92575.36044914796,111708.03074095346,127167.07863821877,143725.37700770618,172907.4659026614
2020-11-02,92677.6161448123,111774.96878292452,127227.31905732056,143658.74230515372,172926.52794282735
2020-11-03,92745.4651780827,111798.89561352055,127174.48078538326,144040.192962802,172612.4496425081
2020-11-04,92735.92177157565,111818.91342312211,127302.03015208084,143835.68502939292,172822.20598383146
2020-11-05,92733.30643386899,112019.348579071,127492.9238740612,143919.206021942,173363.64031051588
2020-11-06,92584.71822807554,112011.66277372652,127660.05605545518,144125.11263736128,174054.20419918018
2020-11-09,92616.95603277082,111865.37128516138,127578.63400227073,144327.22950923216,174214.9548079108
2020-11-10,92578.40074184278,111872.61838295535,127772.77875863618,144397.19374094967,174053.2166308504
2020-11-11,92698.53857062438,111712.12116174851,127548.37027924217,144399.49422531246,174218.4405859147
2020-11-12,92775.16270370308,111796.91764797659,127607.77651326644,144432.52741121256,174218.14113911637
2020-11-13,92776.73921023647,111619.91555700755,127559.75430306054,144453.15537839875,174223.50670068583
2020-11-16,92616.94153761546,111807.50063973296,127608.61687248501,144441.08209526236,175240.68579359542
2020-11-17,92588.87002268553,111800.77102062138,127765.46025286784,144563.0218724437,174969.81863131825
2020-11-18,92571.41835882668,111924.69233249014,127697.84009875589,144696.33020741335,174976.6612651681
2020-11-19,92577.12901729644,111797.62725425443,127928.53793035375,144774.35116258162,175066.683400895
2020-11-20,92777.74817633355,111950.17135373203,127949.26965440321,144764.9693085098,175541.49530242078
2020-11-23,92907.68772142257,111926.23411948842,127912.21318136429,144896.52556506122,175696.60375789585
2020-11-24,92893.65802028266,111903.82882991218,128078.56861207949,144930.16393783852,175866.60941375894
2020-11-25,92783.72051881679,112102.80949170332,127908.59310728704,144892.48227016287,176197.82076733847
2020-11-27,92575.12196700826,112191.31921488658,128060.91035679373,144985.52808433032,176150.70245531562
2020-11-30,92775.23953436143,112253.48442860325,128346.33304436241,145132.15813598892,175545.18142932886
2020-12-01,92621.16678222384,112432.10553884998,128198.26941239176,145030.3218460772,175859.15012046252
2020-12-02,92718.45736410627,112347.94464937909,128169.12723089027,145109.39930594686,176082.56270474548
2020-12-03,92714.20224107662,112400.34588190139,128190.58933721532,145036.96424781872,176198.32098395974
2020-12-04,92781.34726050723,112459.5408351098,128359.05476135682,145102.3963320077,176197.1368348553
2020-12-07,92777.99402283912,112557.14741973918,128414.9473004875,145287.01823316092,176318.41719354916
2020-12-08,92913.56834031016,112566.48871546626,128387.57384571832,145221.70482050788,176212.22146254728
2020-12-09,92901.56489008934,112561.0479314708,128369.45332868985,145336.96701756286,176179.908294949
2020-12-10,92992.35323921646,112567.94206590524,128429.0093494285,145291.2433227945,176673.2618556617
2020-12-11,93021.35748686381,112325.98883605652,128700.90563978672,145375.9666745223,176409.44555226163
2020-12-14,92777.72766698107,112354.82078832165,128642.92901325879,145691.354787487,176334.01084858418
2020-12-15,92775.96360748599,112325.98883605652,128691.66383599734,145697.9520526714,176428.92441522275
2020-12-16,92779.74731884337,112419.10112683401,128878.69497729136,145829.65668843436,176372.9571031207
2020-12-17,92778.16666454029,112475.46870591817,128905.09472346611,146003.5149994265,176607.34677923928
2020-12-18,92938.75974645461,112400.74524065666,128944.73578026505,146056.74813961005,176931.0317207909
2020-12-21,93385.79380035601,112496.77164563228,128917.47904712897,146007.39351251785,176792.10634002712
2020-12-22,93394.6929102471,112461.38119020424,128894.7503801841,145872.22255728338,177002.29358982673
2020-12-23,93107.02014512944,112558.78117461015,128870.25032364312,146107.4188323331,176745.41255847158
2020-12-24,93107.54668581465,112565.77118494234,129028.73197619936,145977.67595029235,176872.56775862613
2020-12-28,93026.72766803329,112592.75193478359,129220.36292890753,145986.19129735406,177159.60989662856
2020-12-29,93023.30435825995,112381.25725832215,129234.88619602418,146291.65567609336,177594.08274226577
2020-12-30,93299.72716824018,112471.40466046944,129174.38978517629,146437.57571026467,178260.1314459586
2020-12-31,93103.60449560135,112661.36850445725,129198.51878102163,146471.18648480382,178260.1314459586
2021-01-04,93490.7196093061,112755.59241904596,129121.12600286747,146467.7175496004,178260.1314459586
2021-01-05,93628.26743511659,112915.41490876718,129084.04442419061,146957.13815554423,178534.93320914495
2021-01-06,93403.7304018475,112837.38209453232,129306.18376908408,146853.27807978453,178470.0615920945
2021-01-07,93396.9494247459,112811.67529596001,129415.40826676671,146703.68621506466,178470.0615920945
2021-01-08,93682.16685032882,112938.83492046042,129460.32544135235,146832.288534338,178212.5584581088
2021-01-11,93641.79480626872,112852.48659023858,129634.72988056793,146761.41385339186,178415.93234986
2021-01-12,93355.35523713192,112867.3834089144,129665.26419832066,146841.24817701432,178529.84779433053
2021-01-13,93360.85510554735,113052.78594547731,129696.3047548417,146933.15964176666,178470.0615920945
2021-01-14,93370.6367022717,112798.26888738424,129608.9352651941,147107.47276135767,178253.75446965607
2021-01-15,93681.55545714464,112882.07143970559,129587.2784901816,147153.16936021144,178493.66952974728
2021-01-19,93683.37525632641,112892.34995679106,129542.16697221069,147123.63529896137,179660.2010031453
2021-01-20,93673.70551376497,113096.54207200647,129814.34775706116,147153.60726387915,178533.34473902217
2021-01-21,93565.99729152418,113016.23061843176,129911.0655824106,147178.4046056516,178535.320254878
2021-01-22,93691.42915030441,113066.17785392812,129853.04323176833,147212.85736734845,179064.25710726914
2021-01-25,93720.46913715427,113187.64214609149,129924.79568435761,147430.9802044172,178529.67666560118
2021-01-26,93702.59972973404,113055.9753645111,129741.54572481569,147669.1765685773,178486.7047415657
2021-01-27,93609.08637743593,113028.13242990476,129712.18288458925,147669.34356759605,178517.92699909207
2021-01-28,93696.72836051718,113170.64880207434,129743.12833953908,147745.47634616014,178801.9863086459
2021-01-29,94087.54524894601,113195.52971993046,129931.73305706927,147961.3840330937,178447.28031516328
2021-02-01,93786.11926803441,113249.91906737514,129944.74286965394,147958.05595540535,178699.3088705147
