,BBfull,BBOU,Nasdaq-100
2021-01-04,48754.12415313721,89804.49062824249,194962.33434099043
2021-01-05,48768.48737716675,89010.81996250153,196616.67475551966
2021-01-06,48445.66703033447,87085.40137958527,193867.1596367635
2021-01-07,47330.08395767212,85462.08375835419,198723.62099054354
2021-01-08,46987.967977523804,84756.89417362213,201267.33529185562
2021-01-11,47458.56768798828,85323.86660671234,198154.15174128307
2021-01-12,47467.87997817993,84965.8080739975,197994.4243906214
2021-01-13,46884.689949035645,84355.24998760223,199246.70181768225
2021-01-14,45605.92538833618,82898.29283809662,198095.7950162667
2021-01-15,46641.4666595459,85042.24872493744,196640.47638044925
2021-01-19,44976.4197845459,83549.59683132172,199598.551925337
2021-01-20,45219.28691101074,84569.00056743622,204204.51879923424
2021-01-21,45357.30645751953,84932.40882015228,205871.4574273368
2021-01-22,45416.49419975281,86051.60359859467,205278.80146595213
2021-01-25,45358.30038833618,85438.8274641037,207073.97191078306
2021-01-26,45944.78415298462,86046.18138408661,207179.9468835319
2021-01-27,46872.71365737915,88642.81376552582,201381.7540672733
2021-01-28,49316.197914123535,90822.83512592316,202746.7555100687
2021-01-29,49282.80997085571,90827.88014698029,198505.6868935985
2021-02-01,49828.63245391846,91964.6316652298,203474.25735030771
2021-02-02,51452.72285079956,93422.27663898468,206656.7010797869
2021-02-03,50779.86498069763,92651.838347435,205831.2181332687
2021-02-04,51495.507875442505,93032.56011104584,208265.73291907206
2021-02-05,51170.12736701965,93049.12592220306,208927.19912316435
2021-02-08,50420.324586868286,91579.2600698471,210325.67581916886
2021-02-09,49976.590353012085,90303.52058506012,210203.7431092271
2021-02-10,50438.85959625244,91077.25217723846,209715.2023843019
2021-02-11,49691.177852630615,90637.38733577728,210929.7001685161
2021-02-12,49120.17813873291,90328.17579936981,212056.20543007
2021-02-16,49011.50734710693,90487.54235744476,211535.10432220713
2021-02-17,49777.59825897217,90242.16621303558,210397.7106046363
2021-02-18,50325.29997634888,90295.77007961273,209442.4510604396
2021-02-19,49962.807582855225,89873.45782375336,208571.20960247837
2021-02-22,51196.259674072266,89814.89437007904,203087.85214256617
2021-02-23,51306.83039855957,90979.36415195465,202642.01036293054
2021-02-24,48673.284969329834,90210.9335565567,204292.67629850085
2021-02-25,50138.75141143799,90352.58477497101,197014.89828742284
2021-02-26,49914.56147766113,90191.9129152298,198260.89160557033
2021-03-01,50810.07855606079,90178.35763454437,203997.18819871344
2021-03-02,50502.93586730957,90111.62408351898,200572.39383455427
2021-03-03,49742.01893615723,90128.57859897614,194788.32901494566
2021-03-04,49932.70009613037,90598.53712558746,191419.8966586538
2021-03-05,51060.10655975342,93213.81990146637,194560.7212897211
2021-03-08,48280.57883453369,91295.78190898895,188887.08581123198
2021-03-09,50636.40916442871,94597.90414142609,196495.50693711633
2021-03-10,49473.98023223877,93246.01808643341,195844.0293166429
2021-03-11,51223.55731201172,95366.19478321075,200464.12418719023
2021-03-12,50344.55765914917,94905.67401981354,198688.60095638438
2021-03-15,50414.00775527954,95298.951836586,200919.32463976607
2021-03-16,50390.30635070801,95096.45792865753,201990.3827637241
2021-03-17,50815.20314025879,95390.01780796051,202759.80365984104
2021-03-18,51523.423862457275,94859.9036989212,196413.33358929705
2021-03-19,51707.76195144653,94425.1040315628,197608.94905102457
2021-03-22,50265.49543571472,93956.46569919586,200980.29099473695
2021-03-23,51075.536224365234,94177.48451328278,199924.90564837906
2021-03-24,51694.103328704834,94240.80226230621,196562.92237760685
2021-03-25,51379.4179649353,94084.62696933746,196280.79738293108
2021-03-26,50941.808628082275,93287.0833902359,199331.01986138365
2021-03-29,50689.558322906494,92839.97336292267,199125.5339992789
2021-03-30,51363.94807624817,93550.95984745026,198062.61972052362
2021-03-31,51042.55332946777,93839.12684726715,201056.01525703655
2021-04-01,49474.20833206177,93582.43710422516,204712.3917828452
2021-04-05,47756.25898551941,91458.46147632599,208838.12675362633
